0, Key.shift_r, PRESS
104, 'T', PRESS
187, Key.shift_r, RELEASE
205, 't', RELEASE
298, 'h', PRESS
360, 'e', PRESS
390, 'h', RELEASE
455, Key.space, PRESS
455, 'e', RELEASE
514, 'q', PRESS
613, Key.space, RELEASE
614, 'u', PRESS
614, 'q', RELEASE
646, 'i', PRESS
700, 'u', RELEASE
746, 'i', RELEASE
746, 'c', PRESS
848, 'k', PRESS
848, 'c', RELEASE
896, Key.space, PRESS
957, 'k', RELEASE
1005, Key.space, RELEASE
1077, 'b', PRESS
1131, 'b', RELEASE
1411, 'r', PRESS
1552, 'o', PRESS
1553, 'r', RELEASE
1643, 'o', RELEASE
1644, 'w', PRESS
1730, 'n', PRESS
1751, 'w', RELEASE
1807, 'n', RELEASE
1831, Key.space, PRESS
1938, 'f', PRESS
1955, Key.space, RELEASE
2054, 'o', PRESS
2054, 'f', RELEASE
2151, 'o', RELEASE
2182, 'x', PRESS
2271, Key.space, PRESS
2305, 'x', RELEASE
2388, Key.space, RELEASE
2460, 'j', PRESS
2522, 'j', RELEASE
2591, 'u', PRESS
2669, 'u', RELEASE
2795, 'm', PRESS
2847, 'm', RELEASE
3037, 'p', PRESS
3152, 's', PRESS
3176, 'p', RELEASE
3208, Key.space, PRESS
3282, 's', RELEASE
3332, Key.space, RELEASE
3787, 'o', PRESS
3847, 'v', PRESS
3903, 'o', RELEASE
3924, 'v', RELEASE
3988, 'e', PRESS
4051, 'r', PRESS
4073, 'e', RELEASE
4106, Key.space, PRESS
4142, 'r', RELEASE
4213, 't', PRESS
4246, Key.space, RELEASE
4283, 'h', PRESS
4329, 't', RELEASE
4360, 'e', PRESS
4391, 'h', RELEASE
4424, Key.space, PRESS
4459, 'e', RELEASE
4492, 'l', PRESS
4575, 'a', PRESS
4616, Key.space, RELEASE
4616, 'l', RELEASE
4684, 'a', RELEASE
4855, 'y', PRESS
4957, 'y', RELEASE
5249, Key.backspace, PRESS
5296, Key.backspace, RELEASE
5316, 'z', PRESS
5430, 'y', PRESS
5450, 'z', RELEASE
5497, 'y', RELEASE
5552, Key.space, PRESS
5685, Key.space, RELEASE
5686, 'd', PRESS
5802, 'o', PRESS
5802, 'd', RELEASE
5863, 'o', RELEASE
5913, 'g', PRESS
6054, 'g', RELEASE
6070, '.', PRESS
6173, '.', RELEASE
