0, 't', PRESS
124, 't', RELEASE
181, 'h', PRESS
274, 'h', RELEASE
275, 'e', PRESS
327, 'e', RELEASE
358, Key.space, PRESS
424, 'q', PRESS
513, Key.space, RELEASE
513, 'u', PRESS
532, 'q', RELEASE
550, 'i', PRESS
612, 'u', RELEASE
672, 'i', RELEASE
673, 'c', PRESS
774, 'k', PRESS
775, 'c', RELEASE
855, Key.space, PRESS
876, 'k', RELEASE
946, 'b', PRESS
1023, Key.space, RELEASE
1023, 'b', RELEASE
1112, 'r', PRESS
1213, 'o', PRESS
1214, 'r', RELEASE
1277, 'o', RELEASE
1299, 'w', PRESS
1369, 'n', PRESS
1370, 'w', RELEASE
1427, Key.space, PRESS
1464, 'n', RELEASE
1575, Key.space, RELEASE
1849, 'j', PRESS
1887, 'j', RELEASE
1955, 'u', PRESS
2025, 'u', RELEASE
2142, 'm', PRESS
2196, 'm', RELEASE
2269, 'p', PRESS
2336, 's', PRESS
2385, 'p', RELEASE
2417, Key.space, PRESS
2435, 's', RELEASE
2526, Key.space, RELEASE
2527, 'o', PRESS
2657, 'o', RELEASE
2723, 'v', PRESS
2801, 'v', RELEASE
2920, 'e', PRESS
2975, 'r', PRESS
2997, 'e', RELEASE
3076, 'r', RELEASE
3142, Key.space, PRESS
3292, Key.space, RELEASE
3323, 't', PRESS
3418, 'h', PRESS
3440, 't', RELEASE
3503, 'e', PRESS
3533, 'h', RELEASE
3575, Key.space, PRESS
3602, 'e', RELEASE
3675, 'l', PRESS
3698, Key.space, RELEASE
3750, 'a', PRESS
3815, 'l', RELEASE
3843, 'a', RELEASE
3943, 'z', PRESS
4054, 'y', PRESS
4098, 'z', RELEASE
4146, 'y', RELEASE
4165, Key.space, PRESS
4312, 'd', PRESS
4328, Key.space, RELEASE
4415, 'o', PRESS
4416, 'd', RELEASE
4513, 'o', RELEASE
4513, 'g', PRESS
4632, '.', PRESS
4632, 'g', RELEASE
4694, '.', RELEASE
