0, Key.shift, PRESS
208, 'T', PRESS
269, Key.shift, RELEASE
270, 't', RELEASE
433, 'h', PRESS
486, 'h', RELEASE
557, 'e', PRESS
659, 'e', RELEASE
683, Key.space, PRESS
737, Key.space, RELEASE
1119, 'q', PRESS
1216, 'u', PRESS
1216, 'q', RELEASE
1260, 'u', RELEASE
1350, 'i', PRESS
1379, 'i', RELEASE
1468, 'c', PRESS
1560, 'k', PRESS
1561, 'c', RELEASE
1615, 'k', RELEASE
1724, Key.space, PRESS
1769, Key.space, RELEASE
1906, 'b', PRESS
1952, 'b', RELEASE
2577, 'r', PRESS
2689, 'o', PRESS
2689, 'r', RELEASE
2734, 'o', RELEASE
2789, 'w', PRESS
2882, 'w', RELEASE
2948, 'n', PRESS
3010, 'n', RELEASE
3092, Key.space, PRESS
3138, Key.space, RELEASE
3299, 'f', PRESS
3379, 'o', PRESS
3408, 'f', RELEASE
3432, 'o', RELEASE
3683, 'x', PRESS
3800, 'x', RELEASE
3834, Key.space, PRESS
3881, Key.space, RELEASE
4325, 'a', PRESS
4403, 'a', RELEASE
4956, Key.backspace, PRESS
5041, Key.backspace, RELEASE
5109, Key.backspace, PRESS
5171, Key.backspace, RELEASE
5207, 'd', PRESS
5207, 's', PRESS
5236, 's', RELEASE
5331, 'a', PRESS
5362, 's', PRESS
5456, 's', RELEASE
5456, 'a', RELEASE
5498, Key.backspace, PRESS
5517, 'd', RELEASE
5575, Key.backspace, RELEASE
5641, Key.backspace, PRESS
5695, Key.backspace, RELEASE
