0, Key.shift, PRESS
89, 'T', PRESS
205, Key.shift, RELEASE
206, 'h', PRESS
206, 't', RELEASE
284, 'h', RELEASE
368, 'e', PRESS
423, 'e', RELEASE
473, Key.space, PRESS
550, Key.space, RELEASE
1553, 'q', PRESS
1693, 'u', PRESS
1693, 'q', RELEASE
1764, 'u', RELEASE
1868, 'i', PRESS
1946, 'i', RELEASE
1984, 'c', PRESS
2053, 'c', RELEASE
2083, 'k', PRESS
2192, Key.space, PRESS
2193, 'k', RELEASE
2264, Key.space, RELEASE
3106, 'b', PRESS
3191, 'b', RELEASE
3359, 'r', PRESS
3455, 'o', PRESS
3455, 'r', RELEASE
3541, 'o', RELEASE
3626, 'w', PRESS
3688, 'w', RELEASE
3705, 'n', PRESS
3785, Key.space, PRESS
3805, 'n', RELEASE
3871, Key.space, RELEASE
4671, 'f', PRESS
4765, 'o', PRESS
4765, 'f', RELEASE
4836, 'o', RELEASE
4952, 'x', PRESS
5050, Key.space, PRESS
5050, 'x', RELEASE
5103, Key.space, RELEASE
6190, 'j', PRESS
6253, 'j', RELEASE
6325, 'u', PRESS
6387, 'u', RELEASE
6484, 'm', PRESS
6553, 'm', RELEASE
6675, 'p', PRESS
6745, 'p', RELEASE
6769, 's', PRESS
6847, 's', RELEASE
6878, Key.space, PRESS
6940, Key.space, RELEASE
7122, 'o', PRESS
7184, 'o', RELEASE
7453, 'v', PRESS
7536, 'v', RELEASE
7537, 'e', PRESS
7623, 'e', RELEASE
7687, 'r', PRESS
7773, 'r', RELEASE
7852, Key.space, PRESS
7931, Key.space, RELEASE
8416, 't', PRESS
8476, 't', RELEASE
8493, 'h', PRESS
8579, 'h', RELEASE
8630, 'e', PRESS
8701, 'e', RELEASE
8778, 'r', PRESS
8848, 'r', RELEASE
8923, Key.space, PRESS
9025, Key.space, RELEASE
9324, Key.backspace, PRESS
9409, Key.backspace, RELEASE
9487, Key.backspace, PRESS
9549, Key.backspace, RELEASE
9650, Key.space, PRESS
9728, Key.space, RELEASE
10072, 'l', PRESS
10133, 'l', RELEASE
10198, 'a', PRESS
10260, 'a', RELEASE
10915, 'z', PRESS
11001, 'z', RELEASE
11075, 'y', PRESS
11145, 'y', RELEASE
11198, Key.space, PRESS
11274, Key.space, RELEASE
11829, 'd', PRESS
11908, 'd', RELEASE
11930, 'o', PRESS
12000, 'o', RELEASE
12129, 'g', PRESS
12192, 'g', RELEASE
12497, '.', PRESS
12576, '.', RELEASE
12735, '\\', PRESS
12765, '\\', RELEASE
13586, Key.backspace, PRESS
13623, Key.backspace, RELEASE
