0, Key.shift, PRESS
192, 'T', PRESS
251, Key.shift, RELEASE
252, 't', RELEASE
406, 'h', PRESS
460, 'h', RELEASE
562, 'e', PRESS
616, 'e', RELEASE
669, Key.space, PRESS
747, Key.space, RELEASE
822, 'q', PRESS
900, 'q', RELEASE
1108, 'u', PRESS
1161, 'u', RELEASE
1323, 'i', PRESS
1376, 'i', RELEASE
1542, 'c', PRESS
1603, 'c', RELEASE
1747, 'k', PRESS
1809, 'k', RELEASE
1887, Key.space, PRESS
1973, Key.space, RELEASE
2470, 'b', PRESS
2532, 'b', RELEASE
2716, 'r', PRESS
2793, 'r', RELEASE
2922, 'o', PRESS
2960, 'o', RELEASE
3088, 'w', PRESS
3166, 'w', RELEASE
3311, 'n', PRESS
3373, 'n', RELEASE
3464, Key.space, PRESS
3526, Key.space, RELEASE
4089, 'f', PRESS
4151, 'f', RELEASE
4328, 'o', PRESS
4399, 'o', RELEASE
4562, 'x', PRESS
4633, 'x', RELEASE
4656, Key.space, PRESS
4734, Key.space, RELEASE
5347, 'j', PRESS
5409, 'j', RELEASE
5535, 'u', PRESS
5572, 'u', RELEASE
5771, 'm', PRESS
5825, 'm', RELEASE
5983, 'p', PRESS
6037, 'p', RELEASE
6110, 's', PRESS
6181, 's', RELEASE
6200, Key.space, PRESS
6270, Key.space, RELEASE
6402, 'o', PRESS
6455, 'o', RELEASE
6678, 'v', PRESS
6725, 'v', RELEASE
6787, 'e', PRESS
6856, 'e', RELEASE
6966, 'r', PRESS
7028, 'r', RELEASE
7109, Key.space, PRESS
7179, Key.space, RELEASE
7546, 't', PRESS
7607, 't', RELEASE
7656, 'h', PRESS
7733, 'h', RELEASE
7857, 'e', PRESS
7911, 'e', RELEASE
7961, Key.space, PRESS
8031, Key.space, RELEASE
8365, 'l', PRESS
8411, 'l', RELEASE
8485, 'a', PRESS
8554, 'a', RELEASE
8761, 'z', PRESS
8822, 'z', RELEASE
9060, 'y', PRESS
9114, 'y', RELEASE
9193, Key.space, PRESS
9263, Key.space, RELEASE
9654, 'd', PRESS
9716, 'd', RELEASE
9820, 'o', PRESS
9874, 'o', RELEASE
10084, 'g', PRESS
10145, 'g', RELEASE
10360, '.', PRESS
10406, '.', RELEASE
