0, Key.enter, RELEASE
808, 'k', PRESS
830, 'w', PRESS
875, 'c', PRESS
875, 'w', RELEASE
899, 'k', RELEASE
998, 'l', PRESS
999, 'k', PRESS
999, 'c', RELEASE
1098, 'l', RELEASE
1098, 'k', RELEASE
1099, 'j', PRESS
1099, 'c', PRESS
1128, 'j', RELEASE
1129, 'c', RELEASE
1193, Key.space, PRESS
1287, Key.space, RELEASE
1336, 'w', PRESS
1446, 'c', PRESS
1446, 'w', RELEASE
1525, 'c', RELEASE
1562, 'w', PRESS
1625, 'w', RELEASE
1752, '8', PRESS
1838, '7', PRESS
1861, '8', RELEASE
1954, '9', PRESS
1954, '7', RELEASE
2034, '9', RELEASE
2070, Key.space, PRESS
2218, Key.space, RELEASE
2218, '3', PRESS
2218, '2', PRESS
2241, '8', PRESS
2275, '2', RELEASE
2368, '8', RELEASE
2368, 'y', PRESS
2369, '3', RELEASE
2446, '9', PRESS
2446, '8', PRESS
2446, 'y', RELEASE
2473, 'c', PRESS
2498, '9', RELEASE
2498, '8', RELEASE
2576, 'j', PRESS
2604, 'c', RELEASE
2665, 'k', PRESS
2665, 'j', RELEASE
2666, 'd', PRESS
2666, 's', PRESS
2738, 'k', RELEASE
2738, 'c', PRESS
2739, 'd', RELEASE
2739, 's', RELEASE
2755, Key.space, PRESS
2783, 'c', RELEASE
2865, Key.space, RELEASE
