0, Key.caps_lock, PRESS
96, Key.caps_lock, RELEASE
170, 't', PRESS
256, 't', RELEASE
356, Key.caps_lock, PRESS
435, Key.caps_lock, RELEASE
500, 'h', PRESS
563, 'h', RELEASE
617, 'e', PRESS
754, Key.space, PRESS
754, 'e', RELEASE
816, Key.space, RELEASE
1254, 'q', PRESS
1388, 'u', PRESS
1389, 'q', RELEASE
1436, 'u', RELEASE
1542, 'i', PRESS
1605, 'i', RELEASE
1686, 'c', PRESS
1757, 'c', RELEASE
1799, 'k', PRESS
1869, 'k', RELEASE
1999, Key.space, PRESS
2061, Key.space, RELEASE
2555, 'b', PRESS
2649, 'b', RELEASE
2792, 'r', PRESS
2854, 'r', RELEASE
2924, 'o', PRESS
2995, 'o', RELEASE
3018, 'w', PRESS
3122, 'w', RELEASE
3175, 'n', PRESS
3237, 'n', RELEASE
3380, Key.space, PRESS
3441, Key.space, RELEASE
3577, 'f', PRESS
3671, 'f', RELEASE
3702, 'o', PRESS
3794, 'o', RELEASE
3794, 'x', PRESS
3894, 'x', RELEASE
3923, Key.space, PRESS
4002, Key.space, RELEASE
4146, 'j', PRESS
4230, 'j', RELEASE
4318, 'u', PRESS
4404, 'u', RELEASE
4500, 'm', PRESS
4603, 'm', RELEASE
4653, 'p', PRESS
4739, 'p', RELEASE
4805, 's', PRESS
4895, Key.space, PRESS
4895, 's', RELEASE
4957, Key.space, RELEASE
5036, 'o', PRESS
5128, 'o', RELEASE
5128, 'v', PRESS
5214, 'v', RELEASE
5266, 'e', PRESS
5376, 'r', PRESS
5376, 'e', RELEASE
5455, 'r', RELEASE
5474, Key.space, PRESS
5545, Key.space, RELEASE
5571, 't', PRESS
5633, 't', RELEASE
5670, 'h', PRESS
5771, 'h', RELEASE
5771, 'e', PRESS
5879, Key.space, PRESS
5879, 'e', RELEASE
5944, Key.space, RELEASE
6233, 'l', PRESS
6334, 'l', RELEASE
6335, 'a', PRESS
6418, 'a', RELEASE
6537, 'z', PRESS
6623, 'z', RELEASE
6657, 'y', PRESS
6720, 'y', RELEASE
6847, Key.space, PRESS
6917, Key.space, RELEASE
7096, 'd', PRESS
7199, 'd', RELEASE
7220, 'o', PRESS
7314, 'o', RELEASE
7384, 'g', PRESS
7454, 'g', RELEASE
7670, '.', PRESS
7739, '.', RELEASE
