0, 't', PRESS
102, 't', RELEASE
117, 'h', PRESS
203, 'h', RELEASE
490, Key.backspace, PRESS
535, Key.backspace, RELEASE
608, Key.backspace, PRESS
675, Key.backspace, RELEASE
675, Key.caps_lock, PRESS
801, Key.caps_lock, RELEASE
838, 't', PRESS
948, 't', RELEASE
1028, Key.caps_lock, PRESS
1123, Key.caps_lock, RELEASE
1261, 'h', PRESS
1338, 'h', RELEASE
1360, 'e', PRESS
1478, Key.space, PRESS
1478, 'e', RELEASE
1567, Key.space, RELEASE
1597, 'q', PRESS
1701, 'u', PRESS
1721, 'q', RELEASE
1786, 'u', RELEASE
1878, 'i', PRESS
1987, 'i', RELEASE
2025, 'c', PRESS
2119, 'c', RELEASE
2164, 'k', PRESS
2260, 'k', RELEASE
2363, Key.space, PRESS
2458, Key.space, RELEASE
2818, 'b', PRESS
2896, 'b', RELEASE
3279, 'r', PRESS
3373, 'r', RELEASE
3418, 'o', PRESS
3528, 'o', RELEASE
3528, 'w', PRESS
3652, 'w', RELEASE
3697, 'n', PRESS
3808, 'n', RELEASE
4076, Key.space, PRESS
4147, Key.space, RELEASE
4263, 'f', PRESS
4358, 'f', RELEASE
4399, 'o', PRESS
4501, 'o', RELEASE
4525, 'x', PRESS
4636, 'x', RELEASE
6093, Key.space, PRESS
6172, Key.space, RELEASE
7961, 'j', PRESS
8047, 'j', RELEASE
8178, 'u', PRESS
8264, 'u', RELEASE
8449, 'm', PRESS
8551, 'm', RELEASE
8649, 'p', PRESS
8720, 'p', RELEASE
8824, 's', PRESS
8919, 's', RELEASE
8954, Key.space, PRESS
9048, Key.space, RELEASE
9140, 'o', PRESS
9210, 'v', PRESS
9241, 'o', RELEASE
9310, 'v', RELEASE
9409, 'e', PRESS
9496, 'r', PRESS
9518, 'e', RELEASE
9598, 'r', RELEASE
9648, Key.space, PRESS
9731, Key.space, RELEASE
9731, 't', PRESS
9816, 't', RELEASE
9831, 'h', PRESS
9934, 'h', RELEASE
9934, 'e', PRESS
10038, Key.space, PRESS
10074, 'e', RELEASE
10124, Key.space, RELEASE
10242, 'l', PRESS
10344, 'l', RELEASE
10518, 'a', PRESS
10659, 'a', RELEASE
11234, 'z', PRESS
11321, 'z', RELEASE
11481, 'y', PRESS
11599, 'y', RELEASE
11690, Key.space, PRESS
11792, Key.space, RELEASE
11792, 'd', PRESS
11906, 'o', PRESS
11906, 'd', RELEASE
11994, 'o', RELEASE
12103, 'g', PRESS
12229, 'g', RELEASE
12426, '.', PRESS
12545, '.', RELEASE
