0, Key.shift, PRESS
145, 'T', PRESS
215, 'T', RELEASE
283, Key.shift, RELEASE
351, 'h', PRESS
406, 'h', RELEASE
491, 'e', PRESS
577, 'e', RELEASE
614, Key.space, PRESS
692, Key.space, RELEASE
1187, 'q', PRESS
1298, 'u', PRESS
1298, 'q', RELEASE
1384, 'u', RELEASE
1419, 'i', PRESS
1522, 'i', RELEASE
1583, 'c', PRESS
1685, 'c', RELEASE
1746, 'k', PRESS
1849, 'k', RELEASE
2383, Key.space, PRESS
2430, Key.space, RELEASE
3095, 'b', PRESS
3173, 'b', RELEASE
3370, 'r', PRESS
3465, 'r', RELEASE
3552, 'o', PRESS
3630, 'o', RELEASE
3685, 'w', PRESS
3779, 'w', RELEASE
3881, 'n', PRESS
3985, 'n', RELEASE
4035, Key.space, PRESS
4114, Key.space, RELEASE
4213, 'f', PRESS
4254, 'o', PRESS
4275, 'f', RELEASE
4331, 'o', RELEASE
4514, 'x', PRESS
4617, 'x', RELEASE
4778, Key.space, PRESS
4880, Key.space, RELEASE
5024, 'j', PRESS
5111, 'j', RELEASE
5194, 'u', PRESS
5257, 'u', RELEASE
5392, 'm', PRESS
5482, 'm', RELEASE
5567, 'p', PRESS
5669, 'p', RELEASE
5709, 's', PRESS
5787, 's', RELEASE
5816, Key.space, PRESS
5903, Key.space, RELEASE
5976, 'o', PRESS
6070, 'o', RELEASE
6165, 'v', PRESS
6267, 'v', RELEASE
6351, 'e', PRESS
6438, 'e', RELEASE
6465, 'r', PRESS
6561, 'r', RELEASE
6593, Key.space, PRESS
6672, Key.space, RELEASE
6767, 't', PRESS
6839, 't', RELEASE
6866, 'h', PRESS
6958, 'h', RELEASE
6959, 'e', PRESS
7051, Key.space, PRESS
7052, 'e', RELEASE
7109, Key.space, RELEASE
7148, 'l', PRESS
7227, 'l', RELEASE
7266, 'a', PRESS
7361, 'a', RELEASE
7486, 'z', PRESS
7572, 'z', RELEASE
7675, 'y', PRESS
7753, 'y', RELEASE
7833, Key.space, PRESS
7912, Key.space, RELEASE
7983, 'd', PRESS
8062, 'd', RELEASE
8121, 'o', PRESS
8191, 'o', RELEASE
8388, 'g', PRESS
8458, 'g', RELEASE
9159, '.', PRESS
9211, '.', RELEASE
